Sparsity : 1	Test Loss : 0.003615439189470547
Sparsity : 2	Test Loss : 0.005150207791633989
Sparsity : 3	Test Loss : 0.006330701853084247
Sparsity : 4	Test Loss : 0.006738078550093633
Sparsity : 5	Test Loss : 0.0071242931287946705
Sparsity : 6	Test Loss : 0.007777404978970299
Sparsity : 7	Test Loss : 0.008199271461105672
Sparsity : 8	Test Loss : 0.008763120206183521
Sparsity : 9	Test Loss : 0.009420634733728365
Sparsity : 10	Test Loss : 0.009923752008785959
Sparsity : 11	Test Loss : 0.01048447719613323
Sparsity : 12	Test Loss : 0.011257155984896235
Sparsity : 13	Test Loss : 0.011672188042197376
Sparsity : 14	Test Loss : 0.01241105498895049
Sparsity : 15	Test Loss : 0.013029585923673585
Sparsity : 16	Test Loss : 0.013569602560577914
Sparsity : 17	Test Loss : 0.014056113237282262
Sparsity : 18	Test Loss : 0.014643893934274092
Sparsity : 19	Test Loss : 0.015086792728025466
Sparsity : 20	Test Loss : 0.01579491656953469
Sparsity : 21	Test Loss : 0.016344417246989904
Sparsity : 22	Test Loss : 0.01671733245276846
Sparsity : 23	Test Loss : 0.017245069125294686
Sparsity : 24	Test Loss : 0.017635387728270144
Sparsity : 25	Test Loss : 0.018259706246573477
Sparsity : 26	Test Loss : 0.018706321679893882
Sparsity : 27	Test Loss : 0.019203171268012374
Sparsity : 28	Test Loss : 0.019727357488218696
Sparsity : 29	Test Loss : 0.020210918394103647
Sparsity : 30	Test Loss : 0.02069680989217013
Sparsity : 31	Test Loss : 0.021076893777772783
Sparsity : 32	Test Loss : 0.021444682845287024
Sparsity : 33	Test Loss : 0.021873512879945337
Sparsity : 34	Test Loss : 0.022381317145843058
Sparsity : 35	Test Loss : 0.022713639894034715
Sparsity : 36	Test Loss : 0.02302860678508878
Sparsity : 37	Test Loss : 0.02351323232650757
Sparsity : 38	Test Loss : 0.024002324657142162
Sparsity : 39	Test Loss : 0.024410166963003577
Sparsity : 40	Test Loss : 0.024635452011413872
Sparsity : 41	Test Loss : 0.025192951497621834
Sparsity : 42	Test Loss : 0.0254310223063454
Sparsity : 43	Test Loss : 0.025971201567165553
Sparsity : 44	Test Loss : 0.026388704910315572
Sparsity : 45	Test Loss : 0.0265796819396317
Sparsity : 46	Test Loss : 0.02702319460399449
Sparsity : 47	Test Loss : 0.027265861843898894
Sparsity : 48	Test Loss : 0.02772207554038614
Sparsity : 49	Test Loss : 0.028079874427989125
Sparsity : 50	Test Loss : 0.028482862143591046
Sparsity : 51	Test Loss : 0.028847859352268277
Sparsity : 52	Test Loss : 0.029062855137884615
Sparsity : 53	Test Loss : 0.02939236969202757
Sparsity : 54	Test Loss : 0.029770316614955664
Sparsity : 55	Test Loss : 0.030059221120923758
Sparsity : 56	Test Loss : 0.03035722748450935
Sparsity : 57	Test Loss : 0.0308053113181144
Sparsity : 58	Test Loss : 0.0310401073127985
Sparsity : 59	Test Loss : 0.031493306949734685
Sparsity : 60	Test Loss : 0.03167900014705956
Sparsity : 61	Test Loss : 0.032094259674474594
Sparsity : 62	Test Loss : 0.03231457372419536
Sparsity : 63	Test Loss : 0.032717121225595475
Sparsity : 64	Test Loss : 0.0328952316518873
Sparsity : 65	Test Loss : 0.033173690651357175
Sparsity : 66	Test Loss : 0.03355027279220522
Sparsity : 67	Test Loss : 0.03388473568446934
Sparsity : 68	Test Loss : 0.0341786072909832
Sparsity : 69	Test Loss : 0.032901937897503376
Sparsity : 70	Test Loss : 0.033201798927783965
Sparsity : 71	Test Loss : 0.03343200051262975
Sparsity : 72	Test Loss : 0.033472466808184984
Sparsity : 73	Test Loss : 0.03377266713306308
Sparsity : 74	Test Loss : 0.03392526039108634
Sparsity : 75	Test Loss : 0.034249139069393274
Sparsity : 76	Test Loss : 0.03432838371507824
Sparsity : 77	Test Loss : 0.03473964800834656
Sparsity : 78	Test Loss : 0.03467875919342041
Sparsity : 79	Test Loss : 0.034942917920276526
Sparsity : 80	Test Loss : 0.03500537560209632
Sparsity : 81	Test Loss : 0.03540602925382554
Sparsity : 82	Test Loss : 0.03541373686119914
Sparsity : 83	Test Loss : 0.03548700727187097
Sparsity : 84	Test Loss : 0.035793541235104205
